iteration, time(ns)
1029, 13.75
1030, 13.75
1031, 13.75
1032, 13.75
1033, 69.58
1034, 13.75
1035, 14.17
1036, 14.17
1037, 13.75
1038, 13.75
1039, 13.75
1040, 43.33
1041, 130.83
1042, 13.75
1043, 14.17
1044, 14.16
1045, 13.75
1046, 13.75
1047, 13.75
1048, 15.00
1049, 14.16
1050, 13.75
1051, 13.75
1052, 14.17
1053, 13.75
1054, 14.58
1055, 13.75
1056, 13.75
1057, 15.00
1058, 13.75
1059, 14.16
1060, 14.17
1061, 14.59
1062, 13.75
1063, 13.75
1064, 14.16
1065, 13.75
1066, 14.58
1067, 13.75
1068, 13.75
1069, 13.75
1070, 13.75
1071, 13.75
1072, 14.16
1073, 13.75
1074, 13.75
1075, 13.75
1076, 14.17
1077, 13.75
1078, 14.58
1079, 13.75
1080, 13.75
1081, 13.75
1082, 13.75
1083, 13.75
1084, 13.75
1085, 13.75
1086, 13.75
1087, 13.75
1088, 13.75
1089, 13.75
1090, 13.75
1091, 13.75
1092, 13.75
1093, 13.75
1094, 13.75
1095, 13.33
1096, 13.75
1097, 14.16
1098, 13.75
1099, 13.75
1100, 13.75
1101, 13.75
1102, 13.75
1103, 13.75
1104, 13.75
1105, 13.75
1106, 13.75
1107, 13.75
1108, 13.75
1109, 13.75
1110, 14.17
1111, 13.75
1112, 13.75
1113, 14.17
1114, 13.75
1115, 13.75
1116, 13.75
1117, 13.75
1118, 13.75
1119, 13.75
1120, 13.75
1121, 13.75
1122, 13.75
1123, 13.75
1124, 13.75
1125, 13.75
1126, 13.75
1127, 13.75
1128, 13.75
1129, 13.75
1130, 13.75
1131, 13.75
1132, 13.75
1133, 13.33
1134, 14.16
1135, 14.17
1136, 13.75
1137, 13.75
1138, 13.75
1139, 13.75
1140, 13.75
1141, 13.75
1142, 13.75
1143, 13.75
1144, 13.75
1145, 13.75
1146, 13.75
1147, 13.75
1148, 13.75
1149, 13.75
1150, 13.75
1151, 13.75
1152, 13.75
1153, 14.16
1154, 13.75
1155, 13.75
1156, 13.75
1157, 13.75
1158, 13.75
1159, 13.75
1160, 13.75
1161, 13.75
1162, 13.75
1163, 13.75
1164, 13.75
1165, 13.75
1166, 13.75
1167, 13.75
1168, 13.75
1169, 13.75
1170, 13.75
1171, 13.75
1172, 13.75
1173, 13.33
1174, 13.75
1175, 13.75
1176, 13.75
1177, 13.75
1178, 13.75
1179, 13.75
1180, 13.75
1181, 13.75
1182, 13.75
1183, 13.75
1184, 13.75
1185, 13.75
1186, 13.75
1187, 13.75
1188, 13.75
1189, 13.75
1190, 13.75
1191, 13.75
1192, 13.75
1193, 14.16
1194, 13.75
1195, 13.75
1196, 13.75
1197, 13.75
1198, 13.75
1199, 47.92
1200, 13.75
1201, 13.75
1202, 13.75
1203, 13.75
1204, 14.16
1205, 14.17
1206, 13.75
1207, 13.75
1208, 13.75
1209, 13.75
1210, 13.75
1211, 13.75
1212, 13.75
1213, 13.75
1214, 13.75
1215, 14.16
1216, 13.75
1217, 13.75
1218, 13.75
1219, 13.75
1220, 13.75
1221, 13.75
1222, 13.75
1223, 13.75
1224, 13.75
1225, 13.75
1226, 13.75
1227, 13.75
1228, 13.75
1229, 13.75
1230, 13.75
1231, 13.75
1232, 13.75
1233, 13.75
1234, 13.75
1235, 13.75
1236, 13.75
1237, 13.75
1238, 13.75
1239, 13.75
1240, 13.75
1241, 13.75
1242, 13.75
1243, 13.75
1244, 13.75
1245, 13.75
1246, 13.75
1247, 13.75
1248, 13.75
1249, 13.75
1250, 13.75
1251, 13.75
1252, 13.75
1253, 13.75
1254, 13.75
1255, 13.75
1256, 13.75
1257, 13.75
1258, 13.75
1259, 13.75
1260, 13.75
1261, 13.75
1262, 13.75
1263, 13.75
1264, 13.75
1265, 13.75
1266, 13.75
1267, 42.50
1268, 13.75
1269, 13.75
1270, 13.33
1271, 13.75
1272, 13.75
1273, 13.75
1274, 14.58
1275, 14.16
1276, 13.75
1277, 13.75
1278, 13.75
1279, 13.75
1280, 13.75
1281, 13.75
1282, 13.75
1283, 13.75
1284, 13.75
1285, 13.75
1286, 13.75
1287, 13.75
1288, 13.75
1289, 13.75
1290, 14.17
1291, 13.75
1292, 13.75
1293, 13.75
1294, 13.75
1295, 13.33
1296, 14.16
1297, 13.75
1298, 13.75
1299, 13.75
1300, 13.75
1301, 13.75
1302, 13.75
1303, 13.75
1304, 13.75
1305, 13.75
1306, 13.75
1307, 13.75
1308, 13.75
1309, 13.75
1310, 13.75
1311, 13.75
1312, 13.75
1313, 13.75
1314, 13.75
1315, 13.75
1316, 13.75
1317, 13.75
1318, 13.75
1319, 14.17
1320, 13.75
1321, 14.17
1322, 13.75
1323, 13.75
1324, 13.75
1325, 13.75
1326, 13.75
1327, 200.42
1328, 13.75
1329, 13.75
1330, 14.17
1331, 13.75
1332, 13.75
1333, 13.75
1334, 13.75
1335, 13.75
1336, 13.75
1337, 13.75
1338, 13.75
1339, 13.75
1340, 14.17
1341, 13.75
1342, 13.75
1343, 13.75
1344, 13.75
1345, 13.75
1346, 13.75
1347, 13.75
1348, 13.75
1349, 13.75
1350, 13.75
1351, 13.75
1352, 13.33
1353, 13.75
1354, 13.34
1355, 13.75
1356, 13.75
1357, 13.75
1358, 13.75
1359, 13.75
1360, 13.75
1361, 13.75
1362, 13.75
